2K1k3/8/8/8/8/8/3R4/8 w - - 0 1;11500.0;11
2K1k3/3R4/8/8/8/8/8/8 b - - 1 1;-11600.0;-10
2K2k2/3R4/8/8/8/8/8/8 w - - 2 2;11700.0;9
3K1k2/3R4/8/8/8/8/8/8 b - - 3 2;-11800.0;-8
3K2k1/3R4/8/8/8/8/8/8 w - - 4 3;11900.0;7
4K1k1/3R4/8/8/8/8/8/8 b - - 5 3;-12000.0;-6
4K2k/3R4/8/8/8/8/8/8 w - - 6 4;12100.0;5
7k/3R1K2/8/8/8/8/8/8 b - - 7 4;-12200.0;-4
8/3R1K1k/8/8/8/8/8/8 w - - 8 5;12300.0;3
8/5K1k/3R4/8/8/8/8/8 b - - 9 5;-12500.0;-2
7k/5K2/3R4/8/8/8/8/8 w - - 10 6;25000.0;1
8/8/7K/8/4R3/8/8/3k4 w - - 0 1;10500.0;21
8/8/8/6K1/4R3/8/8/3k4 b - - 1 1;-10600.0;-20
8/8/8/6K1/4R3/8/3k4/8 w - - 2 2;10700.0;19
8/8/8/8/4RK2/8/3k4/8 b - - 3 2;-10800.0;-18
8/8/8/8/4RK2/3k4/8/8 w - - 4 3;10900.0;17
8/8/8/8/4R3/3k1K2/8/8 b - - 5 3;-11000.0;-16
8/8/8/8/4R3/5K2/3k4/8 w - - 6 4;11100.0;15
8/8/8/8/8/4RK2/3k4/8 b - - 7 4;-11200.0;-14
8/8/8/8/8/4RK2/8/3k4 w - - 8 5;11300.0;13
8/8/8/8/8/5K2/4R3/3k4 b - - 9 5;-11400.0;-12
8/8/8/8/8/5K2/4R3/2k5 w - - 10 6;11500.0;11
8/8/8/8/5K2/8/4R3/2k5 b - - 11 6;-11600.0;-10
8/8/8/8/5K2/8/4R3/3k4 w - - 12 7;11700.0;9
8/8/8/8/8/4K3/4R3/3k4 b - - 13 7;-11800.0;-8
8/8/8/8/8/4K3/4R3/2k5 w - - 14 8;11900.0;7
8/8/8/8/8/3K4/4R3/2k5 b - - 15 8;-12000.0;-6
8/8/8/8/8/3K4/4R3/3k4 w - - 16 9;12100.0;5
4R3/8/8/8/8/3K4/8/3k4 b - - 17 9;-12200.0;-4
4R3/8/8/8/8/3K4/8/2k5 w - - 18 10;12300.0;3
1R6/8/8/8/8/3K4/8/2k5 b - - 19 10;-12500.0;-2
1R6/8/8/8/8/3K4/8/3k4 w - - 20 11;25000.0;1
8/4K2k/6R1/8/8/8/8/8 w - - 0 1;12300.0;3
8/5K1k/6R1/8/8/8/8/8 b - - 1 1;-12500.0;-2
7k/5K2/6R1/8/8/8/8/8 w - - 2 2;25000.0;1
8/8/8/8/K3k3/R7/8/8 w - - 0 1;9700.0;29
8/8/8/1K6/4k3/R7/8/8 b - - 1 1;-9800.0;-28
8/8/8/1K1k4/8/R7/8/8 w - - 2 2;9900.0;27
8/R7/8/1K1k4/8/8/8/8 b - - 3 2;-10000.0;-26
8/R7/4k3/1K6/8/8/8/8 w - - 4 3;10100.0;25
8/R7/2K1k3/8/8/8/8/8 b - - 5 3;-10200.0;-24
8/R7/2K5/5k2/8/8/8/8 w - - 6 4;10300.0;23
8/4R3/2K5/5k2/8/8/8/8 b - - 7 4;-10400.0;-22
8/4R3/2K2k2/8/8/8/8/8 w - - 8 5;10500.0;21
8/8/2K2k2/8/4R3/8/8/8 b - - 9 5;-10600.0;-20
8/8/2K5/6k1/4R3/8/8/8 w - - 10 6;10700.0;19
8/8/3K4/6k1/4R3/8/8/8 b - - 11 6;-10800.0;-18
8/8/3K4/5k2/4R3/8/8/8 w - - 12 7;10900.0;17
8/8/3K4/5k2/3R4/8/8/8 b - - 13 7;-11000.0;-16
8/8/3K2k1/8/3R4/8/8/8 w - - 14 8;11100.0;15
8/8/4K1k1/8/3R4/8/8/8 b - - 15 8;-11200.0;-14
8/8/4K3/6k1/3R4/8/8/8 w - - 16 9;11300.0;13
8/8/4K3/6k1/4R3/8/8/8 b - - 17 9;-11400.0;-12
8/8/4K1k1/8/4R3/8/8/8 w - - 18 10;11500.0;11
8/8/4K1k1/4R3/8/8/8/8 b - - 19 10;-11600.0;-10
8/6k1/4K3/4R3/8/8/8/8 w - - 20 11;11700.0;9
8/6k1/4K3/6R1/8/8/8/8 b - - 21 11;-11800.0;-8
8/8/4K2k/6R1/8/8/8/8 w - - 22 12;11900.0;7
8/8/5K1k/6R1/8/8/8/8 b - - 23 12;-12000.0;-6
8/7k/5K2/6R1/8/8/8/8 w - - 24 13;12100.0;5
8/5K1k/8/6R1/8/8/8/8 b - - 25 13;-12200.0;-4
8/5K2/7k/6R1/8/8/8/8 w - - 26 14;12300.0;3
8/5K2/7k/5R2/8/8/8/8 b - - 27 14;-12500.0;-2
8/5K1k/8/5R2/8/8/8/8 w - - 28 15;25000.0;1
8/8/5R2/8/6K1/8/8/k7 w - - 0 1;11100.0;15
8/8/8/8/6K1/8/5R2/k7 b - - 1 1;-11200.0;-14
8/8/8/8/6K1/8/5R2/1k6 w - - 2 2;11300.0;13
8/8/8/6K1/8/8/5R2/1k6 b - - 3 2;-11400.0;-12
8/8/8/6K1/8/8/5R2/2k5 w - - 4 3;11500.0;11
8/8/8/8/5K2/8/5R2/2k5 b - - 5 3;-11600.0;-10
8/8/8/8/5K2/8/5R2/3k4 w - - 6 4;11700.0;9
8/8/8/8/8/4K3/5R2/3k4 b - - 7 4;-11800.0;-8
8/8/8/8/8/4K3/5R2/2k5 w - - 8 5;11900.0;7
8/8/8/8/8/3K4/5R2/2k5 b - - 9 5;-12000.0;-6
8/8/8/8/8/3K4/5R2/1k6 w - - 10 6;12100.0;5
8/8/8/8/8/2K5/5R2/1k6 b - - 11 6;-12200.0;-4
8/8/8/8/8/2K5/5R2/k7 w - - 12 7;12300.0;3
8/8/8/8/8/1K6/5R2/k7 b - - 13 7;-12500.0;-2
8/8/8/8/8/1K6/5R2/1k6 w - - 14 8;25000.0;1
8/8/6k1/8/3K4/R7/8/8 w - - 0 1;10900.0;17
8/8/6k1/4K3/8/R7/8/8 b - - 1 1;-11000.0;-16
8/5k2/8/4K3/8/R7/8/8 w - - 2 2;11100.0;15
8/5k2/8/5K2/8/R7/8/8 b - - 3 2;-11200.0;-14
8/4k3/8/5K2/8/R7/8/8 w - - 4 3;11300.0;13
8/4k3/8/5K2/8/3R4/8/8 b - - 5 3;-11400.0;-12
8/5k2/8/5K2/8/3R4/8/8 w - - 6 4;11500.0;11
8/3R1k2/8/5K2/8/8/8/8 b - - 7 4;-11600.0;-10
4k3/3R4/8/5K2/8/8/8/8 w - - 8 5;11700.0;9
4k3/3R4/4K3/8/8/8/8/8 b - - 9 5;-11800.0;-8
5k2/3R4/4K3/8/8/8/8/8 w - - 10 6;11900.0;7
5k2/2R5/4K3/8/8/8/8/8 b - - 11 6;-12000.0;-6
6k1/2R5/4K3/8/8/8/8/8 w - - 12 7;12100.0;5
6k1/2R5/5K2/8/8/8/8/8 b - - 13 7;-12200.0;-4
7k/2R5/5K2/8/8/8/8/8 w - - 14 8;12300.0;3
7k/2R5/6K1/8/8/8/8/8 b - - 15 8;-12500.0;-2
6k1/2R5/6K1/8/8/8/8/8 w - - 16 9;25000.0;1
8/4k3/3R4/8/1K6/8/8/8 w - - 0 1;10900.0;17
8/4k3/3R4/2K5/8/8/8/8 b - - 1 1;-11000.0;-16
4k3/8/3R4/2K5/8/8/8/8 w - - 2 2;11100.0;15
4k3/8/4R3/2K5/8/8/8/8 b - - 3 2;-11200.0;-14
5k2/8/4R3/2K5/8/8/8/8 w - - 4 3;11300.0;13
5k2/8/3KR3/8/8/8/8/8 b - - 5 3;-11400.0;-12
8/5k2/3KR3/8/8/8/8/8 w - - 6 4;11500.0;11
8/3K1k2/4R3/8/8/8/8/8 b - - 7 4;-11600.0;-10
6k1/3K4/4R3/8/8/8/8/8 w - - 8 5;11700.0;9
4K1k1/8/4R3/8/8/8/8/8 b - - 9 5;-11800.0;-8
4K3/6k1/4R3/8/8/8/8/8 w - - 10 6;11900.0;7
8/4K1k1/4R3/8/8/8/8/8 b - - 11 6;-12000.0;-6
7k/4K3/4R3/8/8/8/8/8 w - - 12 7;12100.0;5
5K1k/8/4R3/8/8/8/8/8 b - - 13 7;-12200.0;-4
5K2/7k/4R3/8/8/8/8/8 w - - 14 8;12300.0;3
8/5K1k/4R3/8/8/8/8/8 b - - 15 8;-12500.0;-2
7k/5K2/4R3/8/8/8/8/8 w - - 16 9;25000.0;1
8/4k3/8/5K2/8/5R2/8/8 w - - 0 1;11300.0;13
8/4k3/8/5K2/8/3R4/8/8 b - - 1 1;-11400.0;-12
8/5k2/8/5K2/8/3R4/8/8 w - - 2 2;11500.0;11
8/3R1k2/8/5K2/8/8/8/8 b - - 3 2;-11600.0;-10
4k3/3R4/8/5K2/8/8/8/8 w - - 4 3;11700.0;9
4k3/3R4/4K3/8/8/8/8/8 b - - 5 3;-11800.0;-8
5k2/3R4/4K3/8/8/8/8/8 w - - 6 4;11900.0;7
5k2/2R5/4K3/8/8/8/8/8 b - - 7 4;-12000.0;-6
6k1/2R5/4K3/8/8/8/8/8 w - - 8 5;12100.0;5
6k1/2R5/5K2/8/8/8/8/8 b - - 9 5;-12200.0;-4
7k/2R5/5K2/8/8/8/8/8 w - - 10 6;12300.0;3
7k/2R5/6K1/8/8/8/8/8 b - - 11 6;-12500.0;-2
